      
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , -.03 ,50          , 19.22849448084, .0046442810162828 , 25               , 25        , 34                  , 23             , 3.39999999999999991, 2.2999999999999998
 2.1           , -.035,50          , 17.80212667873, .0042997687138699 , 25               , 25        , 35                  , 21             , 3.5                , 2.1               
 2.1           , -.04 ,50          , 16.65236469694, .0040220653424162 , 25               , 25        , 35                  , 9              , 3.5                , .89999989999999996
 2.1           , -.045,50          , 15.7          , .0037920395706639 , 25               , 25        , 35                  , 9              , 3.5                , .89999989999999996
 2.1           , -.05 ,50          , 14.89432777939, .0035974446062355 , 25               , 25        , 38                  , 8              , 3.79999999999999982, .80000000000000004
 2.1           , -.055,50          , 14.20118432961, .0034300288489276 , 25               , 25        , 39                  , 12             , 3.89999999999999991, 1.1999999999999999
 2.1           , -.06 ,50          , 13.59659883941, .0032840026003508 , 25               , 25        , 41                  , 6              , 4.09999999999999964, .59999999999999997
 2.1           , -.065,50          , 13.0631896211 , .0031551676409116 , 25               , 25        , 41                  , 5              , 4.09999999999999964, .5                
 2.1           , -.07 ,50          , 12.58800449407, .0030403956151089 , 25               , 25        , 45                  , 3              , 4.5                , .29999999999999998
 2.1           , -.075,50          , 12.16116770709, .0029373012210681 , 25               , 25        , 45                  , 5              , 4.5                , .5                
 2.1           , -.08 ,50          , 11.775        , .0028440296779979 , 25               , 25        , 44                  , 5              , 4.40000000000000035, .5                
 2.1           , -.085,50          , 11.42342793921, .0027591140623004 , 25               , 25        , 45                  , 9              , 4.5                , .89999989999999996
 2.1           , -.09 ,50          , 11.10157646462, .0026813768949441 , 25               , 25        , 47                  , 6              , 4.70000000000000017, .59999999999999997
 2.1           , -.095,50          , 10.8054810653 , .0026098606229092 , 25               , 25        , 46                  , 4              , 4.59999999999999964, .40000000000000002
 2.1           , -.1  ,50          , 10.53188017402, .0025437774760121 , 25               , 25        , 49                  , 7              , 4.90000000000000035, .69999999999999995
 2.1           , -.07 ,50          , 12.58800449407, .0030403956151089 , 25               , 25        , 45                  , 3              , 4.5                , .29999999999999998
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a, height = 0.75 x pitch
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 148.9432777939, .0359744460623417 , 25               , 25        , 4                   , 110            , .400000000000000022, 11                
 2.1           , 0    ,50          , 105.3188017402, .0254377747601209 , 25               , 25        , 6                   , 79             , .599999999999999977, 7.9000000000000003
 2.1           , -.001,50          , 85.99244152831, .0207698561180483 , 25               , 25        , 8                   , 79             , .800000000000000044, 7.9000000000000003
 2.1           , -.002,50          , 74.47163889696, .0179872230311708 , 25               , 25        , 9                   , 77             , .899999899999999963, 7.7000000000000001
 2.1           , -.002,50          , 66.60945878777, .0160882613696651 , 25               , 25        , 9                   , 79             , .899999899999999963, 7.9000000000000003
 2.1           , -.003,50          , 60.80583853545, .0146865061053409 , 25               , 25        , 12                  , 74             , 1.19999999999999995, 7.4000000000000003
 2.1           , -.003,50          , 56.29526749965, .0135970625477569 , 25               , 25        , 12                  , 74             , 1.19999999999999995, 7.4000000000000003
 2.1           , -.004,50          , 52.65940087012, .0127188873800604 , 25               , 25        , 14                  , 59             , 1.39999999999999991, 5.9000000000000003
 2.1           , -.004,50          , 49.64775926464, .0119914820207850 , 25               , 25        , 15                  , 63             , 1.5                , 6.2999999999999998
 2.1           , -.005,50          , 47.1          , .0113761187119917 , 25               , 25        , 16                  , 54             , 1.60000000000000008, 5.4000000000000003
 2.1           , -.005,50          , 47.3372810987 , .0114334294964296 , 25               , 25        , 16                  , 57             , 1.60000000000000008, 5.7000000000000001
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 a0 = -0.5 x a, height = 0.25 x pitch
