 250UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 211.84615 , 236.4166666666666, 20               , 7                   , 29             , .699999999999999955, 2.8999999999999999
 1.768     , 211.84615 , 245.5            , 20               , 8                   , 23             , .800000000000000044, 2.2999999999999998
 1.768     , 211.84615 , 254.5833333333333, 20               , 5                   , 23             , .5                 , 2.2999999999999998
 1.768     , 211.84615 , 263.6666666666666, 20               , 5                   , 24             , .5                 , 2.3999999999999999
 1.768     , 211.84615 , 272.75           , 20               , 5                   , 23             , .5                 , 2.2999999999999998
 1.768     , 211.84615 , 281.8333333333333, 20               , 5                   , 22             , .5                 , 2.2000000000000001
 1.768     , 211.84615 , 290.9166666666666, 20               , 5                   , 18             , .5                 , 1.8               
 1.768     , 211.84615 , 300              , 20               , 5                   , 16             , .5                 , 1.6               
 1.768     , 211.84615 , 300              , 20               , 5                   , 16             , .5                 , 1.6               
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,162        ,DET_RAD,81          
          
