    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 320              , 778.333333, 29.58598, 449      , 0          , 256       , 0          , 0          , 2082        , 67.61997    , 265          , 17821530     , 18.73754, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 320              , 778.333333, 29.58598, 449      , 0          , 324       , 0          , 0          , 2082        , 67.61997    , 382          , 25689890     , 22.54181, -1    
 , , 2.21     
 , , ,150        , 0     
 , ,, , , ,20              
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 20               , 201.25    , 64.54284, 449      , 0          , 36        , 0          , 0          , 11          , .0007213114 , 79           , 5312961      , 10.19857, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 20               , 201.25    , 64.54284, 449      , 0          , 64        , 0          , 0          , 11          , .0007213114 , 229          , 15400860     , 17.40772, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 20               , 201.25    , 64.54284, 449      , 0          , 100       , 0          , 0          , 11          , .0007213114 , 489          , 32886540     , 25.55122, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 20               , 201.25    , 64.54284, 449      , 0          , 144       , 0          , 0          , 11          , .0007213114 , 901          , 60593300     , 34.93522, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 20               , 201.25    , 64.54284, 449      , 0          , 196       , 0          , 0          , 11          , .0007213114 , 1280         , 86079460     , 41.92672, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 20               , 201.25    , 64.54284, 449      , 0          , 256       , 0          , 0          , 11          , .0007213114 , 1384         , 93071060     , 43.68068, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 20               , 201.25    , 64.54284, 449      , 0          , 324       , 0          , 0          , 11          , .0007213114 , 1458         , 98048000     , 44.89511, -1    
 , ,, , , ,70              
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 70               , 251.25    , 59.56932, 449      , 0          , 36        , 0          , 0          , 39          , .001544036  , 61           , 4102404      , 8.959011, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 70               , 251.25    , 59.56932, 449      , 0          , 64        , 0          , 0          , 39          , .001544036  , 169          , 11365680     , 14.93918, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 70               , 251.25    , 59.56932, 449      , 0          , 100       , 0          , 0          , 39          , .001544036  , 361          , 24278150     , 21.90556, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 70               , 251.25    , 59.56932, 449      , 0          , 144       , 0          , 0          , 39          , .001544036  , 635          , 42705330     , 29.19084, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 70               , 251.25    , 59.56932, 449      , 0          , 196       , 0          , 0          , 39          , .001544036  , 1040         , 69937200     , 37.62719, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 70               , 251.25    , 59.56932, 449      , 0          , 256       , 0          , 0          , 39          , .001544036  , 1340         , 90112030     , 42.94567, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 70               , 251.25    , 59.56932, 449      , 0          , 324       , 0          , 0          , 39          , .001544036  , 1412         , 94954860     , 44.14331, -1    
 , ,, , , ,120             
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 120              , 301.25    , 55.05511, 449      , 0          , 36        , 0          , 0          , 5601        , 122.968     , 30           , 2017572      , 6.27958 , -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 120              , 301.25    , 55.05511, 449      , 0          , 64        , 0          , 0          , 5601        , 122.968     , 111          , 7465016      , 12.09541, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 120              , 301.25    , 55.05511, 449      , 0          , 100       , 0          , 0          , 5601        , 122.968     , 251          , 16880350     , 18.23153, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 120              , 301.25    , 55.05511, 449      , 0          , 144       , 0          , 0          , 5601        , 122.968     , 489          , 32886400     , 25.55122, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 120              , 301.25    , 55.05511, 449      , 0          , 196       , 0          , 0          , 5601        , 122.968     , 811          , 54541260     , 33.09147, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 120              , 301.25    , 55.05511, 449      , 0          , 256       , 1          , .09388797  , 5603        , 123.169     , 1161         , 78075970     , 39.84326, .831E9
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 120              , 301.25    , 55.05511, 449      , 0          , 324       , 10         , .3685797   , 5621        , 122.6342    , 1359         , 91390570     , 43.26429, .247E9
 , ,, , , ,170             
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 170              , 351.25    , 50.9879 , 449      , 0          , 36        , 0          , 0          , 5332        , 127.4137    , 26           , 1748559      , 5.84558 , -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 170              , 351.25    , 50.9879 , 449      , 0          , 64        , 0          , 0          , 5332        , 127.4137    , 83           , 5581936      , 10.45428, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 170              , 351.25    , 50.9879 , 449      , 0          , 100       , 0          , 0          , 5332        , 127.4137    , 193          , 12979680     , 15.97122, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 170              , 351.25    , 50.9879 , 449      , 0          , 144       , 0          , 0          , 5332        , 127.4137    , 366          , 24614320     , 22.05863, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 170              , 351.25    , 50.9879 , 449      , 0          , 196       , 0          , 0          , 5332        , 127.4137    , 605          , 40687580     , 28.47803, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 170              , 351.25    , 50.9879 , 449      , 0          , 256       , 7          , .04682418  , 5336        , 127.7075    , 897          , 60321950     , 34.85509, .12E10
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 170              , 351.25    , 50.9879 , 449      , 0          , 324       , 165        , 4.691214   , 5276        , 124.0494    , 1293         , 86951500     , 42.14918, .185E8
 , ,, , , ,220             
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 220              , 401.25    , 47.33967, 449      , 0          , 36        , 0          , 0          , 4747        , 127.0131    , 19           , 1277791      , 4.996513, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 220              , 401.25    , 47.33967, 449      , 0          , 64        , 0          , 0          , 4747        , 127.0131    , 67           , 4505893      , 9.390229, -1    
   .0004    ,         25, 2.21      , 150        , 0     , 106.25 , 220              , 401.25    , 47.33967, 449      , 0          , 100       , 0          , 0          , 4747        , 127.0131    , 152          , 10222320     , 14.16383, -1    
